index,unicode,slot,token,rom_offset,source,provenance,review
115,U+B530,772,4030,0x06080,glyphs/glyph_0115_U+B530_slot0772_tok4030_off06080.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
116,U+B531,773,5030,0x060A0,glyphs/glyph_0116_U+B531_slot0773_tok5030_off060A0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
117,U+B534,774,6030,0x060C0,glyphs/glyph_0117_U+B534_slot0774_tok6030_off060C0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
118,U+B545,775,7030,0x060E0,glyphs/glyph_0118_U+B545_slot0775_tok7030_off060E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
119,U+B54C,776,8030,0x06100,glyphs/glyph_0119_U+B54C_slot0776_tok8030_off06100.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
120,U+B5A0,777,9030,0x06120,glyphs/glyph_0120_U+B5A0_slot0777_tok9030_off06120.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
121,U+B5A8,778,A030,0x06140,glyphs/glyph_0121_U+B5A8_slot0778_tokA030_off06140.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
122,U+B5BB,779,B030,0x06160,glyphs/glyph_0122_U+B5BB_slot0779_tokB030_off06160.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
123,U+B610,780,C030,0x06180,glyphs/glyph_0123_U+B610_slot0780_tokC030_off06180.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
124,U+B738,781,D030,0x061A0,glyphs/glyph_0124_U+B738_slot0781_tokD030_off061A0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
125,U+B73B,782,E030,0x061C0,glyphs/glyph_0125_U+B73B_slot0782_tokE030_off061C0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
126,U+B77C,783,F030,0x061E0,glyphs/glyph_0126_U+B77C_slot0783_tokF030_off061E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
127,U+B780,784,0031,0x06200,glyphs/glyph_0127_U+B780_slot0784_tok0031_off06200.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
128,U+B784,785,1031,0x06220,glyphs/glyph_0128_U+B784_slot0785_tok1031_off06220.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
129,U+B78C,786,2031,0x06240,glyphs/glyph_0129_U+B78C_slot0786_tok2031_off06240.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
130,U+B798,787,3031,0x06260,glyphs/glyph_0130_U+B798_slot0787_tok3031_off06260.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
131,U+B7EC,788,4031,0x06280,glyphs/glyph_0131_U+B7EC_slot0788_tok4031_off06280.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
132,U+B7F0,789,5031,0x062A0,glyphs/glyph_0132_U+B7F0_slot0789_tok5031_off062A0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
133,U+B7F4,790,6031,0x062C0,glyphs/glyph_0133_U+B7F4_slot0790_tok6031_off062C0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
134,U+B7FC,791,7031,0x062E0,glyphs/glyph_0134_U+B7FC_slot0791_tok7031_off062E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
135,U+B7FD,792,8031,0x06300,glyphs/glyph_0135_U+B7FD_slot0792_tok8031_off06300.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
136,U+B807,793,9031,0x06320,glyphs/glyph_0136_U+B807_slot0793_tok9031_off06320.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
137,U+B808,794,A031,0x06340,glyphs/glyph_0137_U+B808_slot0794_tokA031_off06340.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
138,U+B824,795,B031,0x06360,glyphs/glyph_0138_U+B824_slot0795_tokB031_off06360.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
139,U+B838,796,C031,0x06380,glyphs/glyph_0139_U+B838_slot0796_tokC031_off06380.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
140,U+B85C,797,D031,0x063A0,glyphs/glyph_0140_U+B85C_slot0797_tokD031_off063A0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
141,U+B85D,798,E031,0x063C0,glyphs/glyph_0141_U+B85D_slot0798_tokE031_off063C0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
142,U+B860,799,F031,0x063E0,glyphs/glyph_0142_U+B860_slot0799_tokF031_off063E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
143,U+B86D,831,F033,0x067E0,glyphs/glyph_0143_U+B86D_slot0831_tokF033_off067E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
144,U+B8EC,832,0034,0x06800,glyphs/glyph_0144_U+B8EC_slot0832_tok0034_off06800.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
145,U+B904,833,1034,0x06820,glyphs/glyph_0145_U+B904_slot0833_tok1034_off06820.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
146,U+B96D,834,2034,0x06840,glyphs/glyph_0146_U+B96D_slot0834_tok2034_off06840.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
147,U+B974,835,3034,0x06860,glyphs/glyph_0147_U+B974_slot0835_tok3034_off06860.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
148,U+B978,836,4034,0x06880,glyphs/glyph_0148_U+B978_slot0836_tok4034_off06880.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
149,U+B97C,837,5034,0x068A0,glyphs/glyph_0149_U+B97C_slot0837_tok5034_off068A0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
150,U+B984,838,6034,0x068C0,glyphs/glyph_0150_U+B984_slot0838_tok6034_off068C0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
